changeset,From,Validated,SPAM,Import,Tagging Error
43853325,Crawl 2 SPAM,Y,N,N,N
43936296,Crawl 2 SPAM,Y,Y,N,N
43956541,Crawl 2 SPAM,Y,Y,N,N
44081078,Crawl 2 SPAM,Y,Y,N,N
44113492,Crawl 2 SPAM,Y,Y,N,N
44258535,Crawl 2 SPAM,Y,Y,N,N
44462845,Crawl 2 SPAM,Y,Y,N,N
44722906,Crawl 2 SPAM,Y,Y,N,N
44725218,Crawl 2 SPAM,Y,Y,N,N
44802035,Crawl 2 SPAM,Y,N,N,N
43709438,Crawl 2 SPAM,Y,N,N,N
43874524,Crawl 2 SPAM,Y,Y,N,N
44010195,Crawl 2 SPAM,,Y,N,N
44146912,Crawl 2 SPAM,Y,N,N,N
44193642,Crawl 2 SPAM,,Y,N,N
44438280,Crawl 2 SPAM,,Y,N,N
44545455,Crawl 2 SPAM,,Y,N,N
44589638,Crawl 2 SPAM,Y,Y,N,N
44662058,Crawl 2 SPAM,Y,N,N,N
44780617,Crawl 2 SPAM,,Y,N,N
44800974,Crawl 2 SPAM,Y,N,N,N
44814057,Crawl 2 SPAM,Y,N,N,N
44880781,Crawl 2 SPAM,Y,N,N,N
43802050,Crawl 2 SPAM,,Y,N,N
43890576,Crawl 2 SPAM,Y,Y,N,N
43900424,Crawl 2 SPAM,,Y,N,N
43960928,Crawl 2 SPAM,Y,N,N,N
44454827,Crawl 2 SPAM,Y,Y,N,N
44624958,Crawl 2 SPAM,Y,N,N,N
44720202,Crawl 2 SPAM,Y,N,N,N
44831478,Crawl 2 SPAM,Y,N,N,N
43714411,Crawl 2 SPAM,Y,N,N,N
43931458,Crawl 2 SPAM,,Y,N,N
43950495,Crawl 2 SPAM,Y,N,N,N
44013141,Crawl 2 SPAM,Y,N,N,N
44113372,Crawl 2 SPAM,Y,N,N,N
44187154,Crawl 2 SPAM,Y,N,N,N
44445590,Crawl 2 SPAM,,Y,N,N
44445919,Crawl 2 SPAM,,Y,N,N
44507844,Crawl 2 SPAM,,Y,N,N
44754652,Crawl 2 SPAM,Y,N,N,N
44793826,Crawl 2 SPAM,,Y,N,N
44793837,Crawl 2 SPAM,Y,Y,N,N
44800388,Crawl 2 SPAM,,Y,N,N
43711394,Crawl 2 SPAM,Y,N,N,N
43717641,Crawl 2 SPAM,Y,N,N,N
43717675,Crawl 2 SPAM,Y,N,N,N
43862493,Crawl 2 SPAM,,Y,N,N
43956284,Crawl 2 SPAM,Y,N,N,N
43971795,Crawl 2 SPAM,,Y,N,N
43992522,Crawl 2 SPAM,Y,N,N,N
44098469,Crawl 2 SPAM,Y,N,N,N
44231618,Crawl 2 SPAM,Y,N,N,N
44279708,Crawl 2 SPAM,Y,N,N,N
44407719,Crawl 2 SPAM,Y,N,N,N
44758435,Crawl 2 SPAM,Y,N,N,N
44800643,Crawl 2 SPAM,Y,N,Y,Y
44849486,Crawl 2 SPAM,Y,N,N,N
43755502,Crawl 2 SPAM,,Y,N,N
43790722,Crawl 2 SPAM,,Y,N,N
43844519,Crawl 2 SPAM,Y,Y,N,N
43899110,Crawl 2 SPAM,Y,N,N,N
43953212,Crawl 2 SPAM,Y,N,N,N
44231293,Crawl 2 SPAM,Y,N,N,N
44280051,Crawl 2 SPAM,,Y,N,N
44410940,Crawl 2 SPAM,Y,Y,N,N
44509953,Crawl 2 SPAM,,Y,N,N
44693030,Crawl 2 SPAM,Y,N,N,N
44716180,Crawl 2 SPAM,Y,N,N,N
44800207,Crawl 2 SPAM,Y,N,N,N
43761505,Crawl 2 SPAM,Y,N,N,N
44839557,Crawl 2 SPAM,Y,N,N,N
44717026,Crawl 2 SPAM,Y,N,N,N
43704207,Crawl 2 Mapping Error,Y,N,N,N
43725838,Crawl 2 Mapping Error,Y,N,N,N
43735746,Crawl 2 Mapping Error,,N,N,Y
43753262,Crawl 2 Mapping Error,,N,N,Y
43756468,Crawl 2 Mapping Error,Y,N,N,N
43805286,Crawl 2 Mapping Error,Y,N,N,N
43878256,Crawl 2 Mapping Error,Y,N,N,N
43883580,Crawl 2 Mapping Error,,N,N,Y
43938107,Crawl 2 Mapping Error,Y,N,N,Y
43946328,Crawl 2 Mapping Error,Y,N,Y,Y
43976611,Crawl 2 Mapping Error,Y,N,Y,Y
43991720,Crawl 2 Mapping Error,Y,N,N,Y
43992805,Crawl 2 Mapping Error,Y,N,N,N
44003952,Crawl 2 Mapping Error,Y,N,N,N
44020962,Crawl 2 Mapping Error,Y,N,N,Y
44026170,Crawl 2 Mapping Error,Y,N,N,N
44028597,Crawl 2 Mapping Error,Y,N,N,N
44050347,Crawl 2 Mapping Error,Y,N,N,N
44074125,Crawl 2 Mapping Error,Y,N,N,N
44083756,Crawl 2 Mapping Error,Y,N,N,Y
44087170,Crawl 2 Mapping Error,Y,N,N,N
44119134,Crawl 2 Mapping Error,Y,N,N,N
44136330,Crawl 2 Mapping Error,Y,N,N,N
44153277,Crawl 2 Mapping Error,,N,N,Y
44161494,Crawl 2 Mapping Error,Y,N,N,N
44161968,Crawl 2 Mapping Error,Y,N,N,N
44201352,Crawl 2 Mapping Error,Y,N,N,N
44222537,Crawl 2 Mapping Error,Y,N,N,N
44233986,Crawl 2 Mapping Error,Y,N,N,N
44263854,Crawl 2 Mapping Error,,N,N,Y
44287105,Crawl 2 Mapping Error,Y,N,Y,Y
44288435,Crawl 2 Mapping Error,Y,N,N,Y
44311328,Crawl 2 Mapping Error,Y,N,N,Y
44346519,Crawl 2 Mapping Error,Y,N,Y,Y
44357242,Crawl 2 Mapping Error,Y,N,Y,Y
44361069,Crawl 2 Mapping Error,Y,N,N,N
44364817,Crawl 2 Mapping Error,Y,N,N,Y
44365836,Crawl 2 Mapping Error,,N,Y,N
44373317,Crawl 2 Mapping Error,,N,N,Y
44374971,Crawl 2 Mapping Error,Y,N,N,N
44375428,Crawl 2 Mapping Error,Y,N,N,N
44376502,Crawl 2 Mapping Error,Y,N,N,N
44376785,Crawl 2 Mapping Error,Y,N,N,N
44376991,Crawl 2 Mapping Error,Y,N,N,N
44377349,Crawl 2 Mapping Error,,N,N,Y
44386947,Crawl 2 Mapping Error,Y,N,N,N
44387909,Crawl 2 Mapping Error,Y,N,N,N
44408005,Crawl 2 Mapping Error,Y,N,Y,Y
44410009,Crawl 2 Mapping Error,Y,N,N,N
44416763,Crawl 2 Mapping Error,Y,N,N,N
44427976,Crawl 2 Mapping Error,Y,N,Y,Y
44463496,Crawl 2 Mapping Error,,N,N,Y
44463551,Crawl 2 Mapping Error,,N,N,Y
44463603,Crawl 2 Mapping Error,,N,N,Y
44463615,Crawl 2 Mapping Error,,N,N,Y
44491403,Crawl 2 Mapping Error,Y,N,N,Y
44500009,Crawl 2 Mapping Error,Y,N,N,N
44511019,Crawl 2 Mapping Error,Y,N,N,N
44512030,Crawl 2 Mapping Error,Y,N,N,N
44525519,Crawl 2 Mapping Error,Y,N,N,N
44555067,Crawl 2 Mapping Error,Y,N,N,N
44555262,Crawl 2 Mapping Error,,N,N,Y
44572127,Crawl 2 Mapping Error,Y,N,N,N
44574072,Crawl 2 Mapping Error,Y,N,N,N
44575143,Crawl 2 Mapping Error,Y,N,N,N
44581015,Crawl 2 Mapping Error,Y,N,N,N
44586689,Crawl 2 Mapping Error,Y,N,N,N
44590847,Crawl 2 Mapping Error,Y,N,N,N
44591918,Crawl 2 Mapping Error,,N,N,Y
44594310,Crawl 2 Mapping Error,,N,N,Y
44613247,Crawl 2 Mapping Error,Y,N,N,N
44623469,Crawl 2 Mapping Error,Y,N,N,N
44623927,Crawl 2 Mapping Error,Y,N,N,N
44624211,Crawl 2 Mapping Error,Y,N,N,N
44636646,Crawl 2 Mapping Error,Y,N,N,N
44636672,Crawl 2 Mapping Error,Y,N,N,N
44636715,Crawl 2 Mapping Error,Y,N,N,N
44638787,Crawl 2 Mapping Error,,N,N,Y
44643870,Crawl 2 Mapping Error,,N,N,Y
44653976,Crawl 2 Mapping Error,Y,N,N,N
44654188,Crawl 2 Mapping Error,Y,N,N,N
44663491,Crawl 2 Mapping Error,,N,N,Y
44677846,Crawl 2 Mapping Error,,N,N,Y
44716340,Crawl 2 Mapping Error,Y,N,N,N
44752545,Crawl 2 Mapping Error,,N,N,Y
44753107,Crawl 2 Mapping Error,Y,N,N,N
44754094,Crawl 2 Mapping Error,,N,N,Y
44765558,Crawl 2 Mapping Error,,N,N,Y
44768375,Crawl 2 Mapping Error,,N,N,Y
44770542,Crawl 2 Mapping Error,Y,N,Y,Y
44771439,Crawl 2 Mapping Error,,N,N,Y
44772497,Crawl 2 Mapping Error,,N,N,Y
44795081,Crawl 2 Mapping Error,,N,N,Y
44795142,Crawl 2 Mapping Error,,N,N,Y
44795793,Crawl 2 Mapping Error,,N,N,Y
44796060,Crawl 2 Mapping Error,Y,N,Y,Y
44798169,Crawl 2 Mapping Error,,N,N,Y
44803689,Crawl 2 Mapping Error,Y,N,N,Y
44840662,Crawl 2 Mapping Error,,N,N,Y
44854479,Crawl 2 Mapping Error,Y,N,N,N
43701369,Crawl 2 Mapping Error,Y,N,N,N
43754081,Crawl 2 Mapping Error,Y,N,N,Y
43755131,Crawl 2 Mapping Error,Y,N,N,Y
43791651,Crawl 2 Mapping Error,Y,N,N,N
43817091,Crawl 2 Mapping Error,Y,N,N,N
43824375,Crawl 2 Mapping Error,Y,N,N,N
43826364,Crawl 2 Mapping Error,Y,N,N,N
43841294,Crawl 2 Mapping Error,Y,N,N,N
43844455,Crawl 2 Mapping Error,Y,N,N,N
43854549,Crawl 2 Mapping Error,Y,N,N,N
43877674,Crawl 2 Mapping Error,Y,N,N,N
43880119,Crawl 2 Mapping Error,,N,N,Y
43882786,Crawl 2 Mapping Error,Y,N,N,N
43887868,Crawl 2 Mapping Error,Y,N,N,N
43887872,Crawl 2 Mapping Error,Y,N,N,N
43896609,Crawl 2 Mapping Error,Y,N,N,N
43899393,Crawl 2 Mapping Error,Y,N,N,N
43913772,Crawl 2 Mapping Error,Y,N,N,N
43913833,Crawl 2 Mapping Error,Y,N,N,N
43933742,Crawl 2 Mapping Error,Y,N,N,N
43951506,Crawl 2 Mapping Error,,N,N,Y
43996954,Crawl 2 Mapping Error,Y,N,N,Y
44013525,Crawl 2 Mapping Error,Y,N,N,N
44020888,Crawl 2 Mapping Error,Y,N,N,N
44030163,Crawl 2 Mapping Error,Y,N,N,N
44055159,Crawl 2 Mapping Error,Y,N,N,N
44077345,Crawl 2 Mapping Error,Y,N,Y,Y
44100802,Crawl 2 Mapping Error,Y,N,N,N
44110827,Crawl 2 Mapping Error,Y,N,N,N
44189849,Crawl 2 Mapping Error,Y,N,N,N
44190167,Crawl 2 Mapping Error,Y,N,N,N
44200265,Crawl 2 Mapping Error,Y,N,N,N
44228976,Crawl 2 Mapping Error,Y,N,N,N
44239980,Crawl 2 Mapping Error,Y,N,N,N
44262684,Crawl 2 Mapping Error,Y,N,N,N
44296911,Crawl 2 Mapping Error,Y,N,N,N
44349344,Crawl 2 Mapping Error,,N,N,Y
44354409,Crawl 2 Mapping Error,Y,N,N,N
44356127,Crawl 2 Mapping Error,Y,N,N,N
44357535,Crawl 2 Mapping Error,Y,N,N,N
44374626,Crawl 2 Mapping Error,,N,N,Y
44384014,Crawl 2 Mapping Error,Y,N,N,N
44385318,Crawl 2 Mapping Error,Y,N,N,N
44385478,Crawl 2 Mapping Error,Y,N,N,N
44385543,Crawl 2 Mapping Error,Y,N,N,N
44400894,Crawl 2 Mapping Error,,N,N,Y
44415979,Crawl 2 Mapping Error,Y,N,N,N
44420493,Crawl 2 Mapping Error,,N,Y,N
44433200,Crawl 2 Mapping Error,Y,N,N,Y
44464340,Crawl 2 Mapping Error,,N,N,Y
44488396,Crawl 2 Mapping Error,Y,N,N,N
44491316,Crawl 2 Mapping Error,Y,N,N,Y
44492777,Crawl 2 Mapping Error,,N,N,Y
44494702,Crawl 2 Mapping Error,,N,N,Y
44498172,Crawl 2 Mapping Error,Y,N,N,N
44506607,Crawl 2 Mapping Error,Y,N,N,N
44513659,Crawl 2 Mapping Error,Y,N,N,N
44514992,Crawl 2 Mapping Error,,N,Y,N
44518828,Crawl 2 Mapping Error,,N,N,Y
44523551,Crawl 2 Mapping Error,Y,N,N,N
44537167,Crawl 2 Mapping Error,Y,N,N,N
44540409,Crawl 2 Mapping Error,Y,N,N,N
44544135,Crawl 2 Mapping Error,,N,N,Y
44544670,Crawl 2 Mapping Error,Y,N,N,N
44556246,Crawl 2 Mapping Error,Y,N,N,Y
44569514,Crawl 2 Mapping Error,,N,N,Y
44569739,Crawl 2 Mapping Error,,N,N,Y
44570700,Crawl 2 Mapping Error,,N,N,Y
44570709,Crawl 2 Mapping Error,Y,N,N,N
44570753,Crawl 2 Mapping Error,Y,N,N,Y
44570843,Crawl 2 Mapping Error,,N,N,Y
44570903,Crawl 2 Mapping Error,,N,N,Y
44576830,Crawl 2 Mapping Error,Y,N,N,N
44598283,Crawl 2 Mapping Error,Y,N,N,N
44614896,Crawl 2 Mapping Error,Y,N,N,N
44615430,Crawl 2 Mapping Error,Y,N,N,N
44615475,Crawl 2 Mapping Error,Y,N,N,N
44615528,Crawl 2 Mapping Error,Y,N,N,N
44615594,Crawl 2 Mapping Error,Y,N,N,N
44637817,Crawl 2 Mapping Error,,N,N,Y
44638226,Crawl 2 Mapping Error,,N,N,Y
